text,Pattern Category
02 DAYS :23 HOURS :00 MINS :54 SECS,6
1DAYS 04 HOURS 17 MINUTES 18 SECONDS,6
Sale ending in 0 days 04 hours 12 minutes 10 seconds,6
127 People viewed this product this week,5
🔥 2 people are looking right now,5
Enter your email VIEW MY CODE OFFER EXPIRES IN: 0 minutes 00 seconds EXTRA 10% OFF,6
161 people have viewed this item,5
Only 2 left.,3
Hurry! Only 7 left in stock.,3
Hot Offer. Limited Time,6
Only 1 Left in Stock!,3
"Rick in Columbia, United States purchased a",5
9 items left,3
Hurry up! Only 11 items left,3
"Debby in Harpers Ferry, United States just bought: Icing Pen Decorating Tool",5
Grab yourself a bargain!,1
Hurry! Only 1 left!,3
"No Thanks, I prefer not to have a protection plan",1
31 have it in their cart,5
People also buy this with,1
HURRY! ONLY 31 LEFT IN STOCK.,3
Only 3 left.,3
We may also disclose your information to third parties who may contact you with details of other products and services which may be of interest. If you do not want your name and mailing details made available in this way please email opt-out@nextdirect.com,2
"Order now, only 2 left in stock!",3
"Someone in Chambersburg, Pennsylvania purchased",5
2day 13:49:51 Left,6
Hurry up! Sale Ends in,6
Limited Stock,3
93 PEOPLE HAVE BOUGHT THIS PRODUCT TODAY,5
"No, thanks. I'd rather pay full price.",1
LIMITED TIME OFFER : Grab a Matching Pair & save up 60%!,1
Yes! Upgrade my purchase,1
"Jeremy in Warroad, United States purchased a",5
Deal expires in: 03 hrs 25 mins 22 sec,6
FREE SHIPPING // FOR A LIMITED TIME ONLY,6
only 5 left in stock!,3
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING OVER $80 HURRY! LIMITED TIME ONLY,6
"Natalie in Graham, United States purchased a FREE BTS Answer Magic Pillow about 1 hour ago",5
Order Subtotal $19.99 Standard Delivery $12.99 Care & Handling $2.99 Tax $2.38 Total $38.35 Savings Today $10.00,4
No I'd rather not hear about exclusive offers and discounts.,1
"No thanks, I’d rather pay more",1
Only 3 left in stock!,3
What people are saying about us...,5
Act now and save $12.99. Limited time only!,6
Only 13 left!,3
"If your JR Plus membership has renewed automatically, you have seven (7) days after payment is taken to cancel your annual membership. You must contact Customer Service at (888) 574-3576 within this window and not have made any eligible purchase using the JR Plus service. You will then be provided with a full refund of your membership fee for the renewal year and the JR Plus service will be cancelled from your account. If you cancel during any renewal year after the seven (7) day window expires, you are not entitled to any refund of the renewal fee, even if you have not made any eligible purchase during the renewal term.",2
Tick here if you do not want to receive Promotional Offers by Post Tick here if you do wish to receive Promotional Offers by email and/or SMS Tick here if you would like to receive Offers from selected third parties,1
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80 ,6
You may cancel your membership at any time by calling us at at 855-861-2573 (6:00AM – 5:00PM PST) or by emailing support@luckytacklebox.com. California residents may also cancel your subscription by accessing your Account through the Site.,2
"Hurry, only 5 left",3
No thanks! I don't like deals,1
"You may cancel your Minted More membership at any time by contacting Minted Customer Service at www.minted.com/help. If you cancel your membership before your Minted More gift box has shipped, we will refund your full membership fee; provided that we may charge you (or withhold from your refund) the value of Minted More discount benefits used by you and your account prior to cancellation. If you cancel at any other time, your membership fee is non-refundable.",2
"SALE ENDS IN 19 DAYS, 9 HOURS, 50 MINUTES, 54 SECONDS",6
Your order is reserved for 29:52 minutes!,6
LIMITED TIME ONLY,6
Only 9 left!,3
"Mher from San Angelo, TX Recently made a purchase with Crossrope",5
"There's no obligation to buy as an Xtra VIP Member, nor is there any minimum number of months or commitment for membership. You can shop or ‘Skip’ by the 5th of each month, and you can cancel your membership at any time by calling (855) SAVAGEX (open 24/7).",2
3 left in stock,3
No thanks. I love chaos!,1
"No thanks, I like paying full price",1
ONLY 9 LEFT,3
"No Thanks, I don't want official software at the best price.",1
Only 4 left in stock,3
10 Left in stock,3
